,store_name,store_id,display_extra_info,display_id,last_scanned_datetime,name,previous_post_scan_num_facings,max_slots,payoff
53,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-18 19:02:57+00:00,"Diet Coke Can, 16 fl oz",20.0,43.0,0.0
54,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-18 19:02:57+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",8.0,43.0,0.0
56,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-18 19:02:57+00:00,"Coca-Cola Can, 16 fl oz",4.0,43.0,6.070826306913998
57,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-18 19:02:57+00:00,"Sprite Can, 16 fl oz",2.0,43.0,0.0
527,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Diet Coke Can, 12 fl oz",4.0,43.0,10.132916340891322
528,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Coca-Cola Can, 16 fl oz",4.0,43.0,2.251759186864738
529,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Sprite Can, 16 fl oz",2.0,43.0,0.0
530,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",8.0,43.0,0.0
531,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Diet Coke Can, 16 fl oz",24.0,43.0,0.0
1009,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-14 22:51:28+00:00,"Diet Coke Can, 16 fl oz",23.0,43.0,13.565708902496468
1010,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-14 22:51:28+00:00,"Diet Coke Can, 12 fl oz",1.0,43.0,0.0
1011,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-14 22:51:28+00:00,"Sprite Can, 16 fl oz",4.0,43.0,1.6957136128120585
1012,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-14 22:51:28+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",9.0,43.0,2.03485633537447
1909,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-12 22:22:06+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",7.0,43.0,0.0
1910,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-12 22:22:06+00:00,"Diet Coke Can, 12 fl oz",16.0,43.0,0.0
1911,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-12 22:22:06+00:00,"Sprite Can, 16 fl oz",5.0,43.0,0.0
1912,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-12 22:22:06+00:00,"Coca-Cola Can, 16 fl oz",2.0,43.0,1.9807427785419534
1913,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-12 22:22:06+00:00,"Diet Coke Can, 16 fl oz",12.0,43.0,0.0
3089,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-11 17:38:57+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",7.0,43.0,0.0
3091,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-11 17:38:57+00:00,"Coca-Cola Can, 16 fl oz",2.0,43.0,7.530505520046484
3092,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-11 17:38:57+00:00,"Diet Coke Can, 12 fl oz",10.0,43.0,0.0
3093,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-11 17:38:57+00:00,"Sprite Can, 16 fl oz",5.0,43.0,3.346891342242882
4358,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-10 21:04:19+00:00,"Diet Coke Can, 12 fl oz",13.0,43.0,0.0
4359,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-10 21:04:19+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",8.0,43.0,2.550930026572188
4360,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-10 21:04:19+00:00,"Diet Coke Can, 16 fl oz",15.0,43.0,0.0
4361,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-10 21:04:19+00:00,"Sprite Can, 16 fl oz",5.0,43.0,0.0
4802,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-09 17:05:07+00:00,"Diet Coke Can, 12 fl oz",18.0,43.0,0.0
4803,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-09 17:05:07+00:00,"Fanta Orange Soda Can, 16 fl oz",2.0,43.0,0.8602150537634408
4804,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-09 17:05:07+00:00,"Sprite Cans, 12 fl oz, 6 Pack",1.0,43.0,0.8602150537634408
4805,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-09 17:05:07+00:00,"Coca-Cola Can, 16 fl oz",4.0,43.0,4.301075268817204
4806,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-09 17:05:07+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",12.0,43.0,0.0
4807,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-09 17:05:07+00:00,"Sprite Can, 16 fl oz",9.0,43.0,0.0
4808,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-09 17:05:07+00:00,"Diet Coke Can, 16 fl oz",20.0,43.0,0.0
6500,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-07 16:31:57+00:00,"Sprite Can, 16 fl oz",5.0,43.0,0.0
6501,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-07 16:31:57+00:00,"Diet Coke Can, 16 fl oz",12.0,43.0,9.807037457434733
6502,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-07 16:31:57+00:00,"Coca-Cola Can, 16 fl oz",2.0,43.0,0.0
6503,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-07 16:31:57+00:00,"Diet Coke Can, 12 fl oz",16.0,43.0,0.0
6504,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-07 16:31:57+00:00,"Fanta Orange Soda Can, 16 fl oz",1.0,43.0,1.6345062429057888
6505,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-07 16:31:57+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",6.0,43.0,4.086265607264472
7716,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-05 21:01:56+00:00,"Fanta Orange Soda Can, 16 fl oz",1.0,43.0,0.0
7717,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-05 21:01:56+00:00,"Diet Coke Can, 12 fl oz",11.0,43.0,0.0
7719,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-05 21:01:56+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",6.0,43.0,0.0
7720,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-05 21:01:56+00:00,"Sprite Can, 16 fl oz",5.0,43.0,0.0
7721,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-05 21:01:56+00:00,"Coca-Cola Can, 16 fl oz",2.0,43.0,0.0
8550,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-04 14:25:46+00:00,"Coca-Cola Can, 16 fl oz",2.0,43.0,7.06267029972752
8551,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-04 14:25:46+00:00,"Fanta Orange Soda Can, 16 fl oz",1.0,43.0,3.1389645776566755
8552,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-04 14:25:46+00:00,"Sprite Can, 16 fl oz",5.0,43.0,9.416893732970028
8553,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-04 14:25:46+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",6.0,43.0,10.986376021798366
8554,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-04 14:25:46+00:00,"Diet Coke Can, 12 fl oz",1.0,43.0,3.9237057220708444
9901,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-03 20:10:35+00:00,"Coca-Cola Can, 16 fl oz",2.0,43.0,10.607734806629834
9902,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-03 20:10:35+00:00,"Fanta Orange Soda Can, 16 fl oz",1.0,43.0,6.629834254143646
10390,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-02 17:42:22+00:00,"Fanta Orange Soda Can, 16 fl oz",2.0,43.0,1.8181818181818181
10392,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-02 17:42:22+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",7.0,43.0,8.181818181818182
10394,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-02 17:42:22+00:00,"Sprite Can, 16 fl oz",5.0,43.0,5.454545454545454
11381,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-01 19:50:45+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",6.0,43.0,3.6000000000000005
11382,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-01 19:50:45+00:00,"Diet Coke Can, 12 fl oz",9.0,43.0,0.0
11384,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-01 19:50:45+00:00,"Fanta Orange Soda Can, 16 fl oz",2.0,43.0,0.0
11385,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-01 19:50:45+00:00,"Sprite Can, 16 fl oz",5.0,43.0,0.0
11386,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-01 19:50:45+00:00,"Coca-Cola Can, 16 fl oz",1.0,43.0,3.6000000000000005
11861,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-10-31 18:47:34+00:00,"Coca-Cola Can, 16 fl oz",2.0,43.0,3.8528428093645486
11862,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-10-31 18:47:34+00:00,"Fanta Orange Soda Can, 16 fl oz",3.0,43.0,2.8896321070234112
11863,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-10-31 18:47:34+00:00,"Diet Coke Can, 16 fl oz",16.0,43.0,9.632107023411372
11864,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-10-31 18:47:34+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",4.0,43.0,0.0
11865,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-10-31 18:47:34+00:00,"Sprite Can, 16 fl oz",5.0,43.0,1.9264214046822743
